학년도, 학기, 조직분류, 교과목명, 교과목번호, 분반, 요일, 시작교시, 종료교시, 건물, 호실, 시간, 교수자
2020, CMN17.10, CMN12.03, 세포와 생명현상, SE212, 4, CMN44.1, UCS05.13, UCS05.15,E7,242,월요일14:30~16:00, 조정아 
2020, CMN17.10, CMN12.03, 세포와 생명현상, SE212, 4, CMN44.5, UCS05.14, UCS05.16,E7,242,금요일15:00~16:30, 조정아 
2020, CMN17.10, CMN12.03, 생명과학 실험 I(이), SE251, 1, CMN44.2, UCS05.10, UCS05.15,E4,226,화요일13:00~16:00, 이창훈 
2020, CMN17.10, CMN12.03, 생명과학 실험 I(이), SE251, 1, CMN44.4, UCS05.22, UCS05.27,E4,226,목요일19:00~22:00, 이창훈 
2020, CMN17.10, CMN12.03, 생명과학 실험 I(이), SE251, 2, CMN44.1, UCS05.22, UCS05.27,E4,226,월요일19:00~22:00, 조정아 
2020, CMN17.10, CMN12.03, 생명과학 실험 I(이), SE251, 2, CMN44.3, UCS05.22, UCS05.27,E4,226,수요일19:00~22:00, 조정아 
2020, CMN17.10, CMN12.03, 생명과학 실험 I(이), SE251, 3, CMN44.2, UCS05.22, UCS05.27,E4,226,화요일19:00~22:00, 이상임 
2020, CMN17.10, CMN12.03, 생명과학 실험 I(이), SE251, 3, CMN44.4, UCS05.02, UCS05.07,E4,226,목요일9:00~12:00, 이상임 
2020, CMN17.10, CMN12.03, 생명체의 다양성과 유기적 관계 (이), SE352, 1, CMN44.1, UCS05.14, UCS05.16,E7,G01,월요일15:00~16:30, 이상임 
2020, CMN17.10, CMN12.03, 생명체의 다양성과 유기적 관계 (이), SE352, 1, CMN44.3, UCS05.12, UCS05.14,E7,G01,수요일14:00~15:30, 이상임 
2020, CMN17.10, CMN12.03, 기초생화학 (이), SE357, 1, CMN44.2, UCS05.05, UCS05.07,E7,G02,화요일10:30~12:00, 이창훈 
2020, CMN17.10, CMN12.03, 기초생화학 (이), SE357, 1, CMN44.4, UCS05.05, UCS05.07,E7,G02,목요일10:30~12:00, 이창훈 
2020, CMN17.10, CMN12.03, 기초생화학 (이), SE357, 2, CMN44.3, UCS05.02, UCS05.04,E7,G02,수요일9:00~10:30, 김대환 
2020, CMN17.10, CMN12.03, 기초생화학 (이), SE357, 2, CMN44.4, UCS05.16, UCS05.18,E7,G02,목요일16:00~17:30, 김대환 
2020, CMN17.10, CMN12.03, 발생 및 발달생물학 (이), SE450a, 1, CMN44.1, UCS05.05, UCS05.07,E7,G01,월요일10:30~12:00, 김경진 곽준명 최한경 
2020, CMN17.10, CMN12.03, 발생 및 발달생물학 (이), SE450a, 1, CMN44.3, UCS05.05, UCS05.07,E7,G01,수요일10:30~12:00, 김경진 곽준명 최한경 
2020, CMN17.10, CMN12.03, 디자인사고, SE118, 1, CMN44.3, UCS05.02, UCS05.07,E7,237,수요일9:00~12:00, 박종래 
2020, CMN17.10, CMN12.03, 디자인사고, SE118, 2, CMN44.2, UCS05.02, UCS05.07,E7,237,화요일9:00~12:00, 박종래 
2020, CMN17.10, CMN12.03, 메카트로닉스(공), SE372, 1, CMN44.1, UCS05.17, UCS05.19,E7,224,월요일16:30~18:00, 임용섭 
2020, CMN17.10, CMN12.03, 메카트로닉스(공), SE372, 1, CMN44.3, UCS05.14, UCS05.16,E7,224,수요일15:00~16:30, 임용섭 
2020, CMN17.10, CMN12.03, 프로그래밍(이론), SE213a, 1, CMN44.2, UCS05.10, UCS05.13,E7,224,화요일13:00~15:00, 신동훈 
2020, CMN17.10, CMN12.03, 프로그래밍(이론), SE213a, 2, CMN44.1, UCS05.16, UCS05.19,E7,L21,월요일16:00~18:00, 신동훈 
2020, CMN17.10, CMN12.03, 프로그래밍(이론), SE213a, 3, CMN44.2, UCS05.14, UCS05.17,E7,223,화요일15:00~17:00, 신동훈 
2020, CMN17.10, CMN12.03, 프로그래밍(이론), SE213a, 4, CMN44.5, UCS05.04, UCS05.07,E7,L22,금요일10:00~12:00, 신동훈 
2020, CMN17.10, CMN12.03, 프로그래밍(실습), SE213b, 1, CMN44.4, UCS05.04, UCS05.07,E5,221,목요일10:00~12:00, 신동훈 
2020, CMN17.10, CMN12.03, 프로그래밍(실습), SE213b, 2, CMN44.1, UCS05.14, UCS05.17,E5,221,월요일15:00~17:00, 미정4 
2020, CMN17.10, CMN12.03, 프로그래밍(실습), SE213b, 3, CMN44.2, UCS05.15, UCS05.18,E5,221,화요일15:30~17:30, 미정4 
2020, CMN17.10, CMN12.03, 프로그래밍(실습), SE213b, 4, CMN44.5, UCS05.03, UCS05.06,E5,221,금요일9:30~11:30, 미정4 
2020, CMN17.10, CMN12.03, 프로그래밍(실습), SE213b, 5, CMN44.4, UCS05.13, UCS05.16,E5,221,목요일14:30~16:30, 미정4 
2020, CMN17.10, CMN12.03, 프로그래밍(실습), SE213b, 6, CMN44.2, UCS05.02, UCS05.05,E5,221,화요일9:00~11:00, 미정4 
2020, CMN17.10, CMN12.03, 프로그래밍(실습), SE213b, 7, CMN44.1, UCS05.04, UCS05.07,E5,221,월요일10:00~12:00, 미정4 
2020, CMN17.10, CMN12.03, 프로그래밍(실습), SE213b, 8, CMN44.3, UCS05.15, UCS05.18,E5,221,수요일15:30~17:30, 미정4 
2020, CMN17.10, CMN12.03, 진동공학(공), SE483, 1, CMN44.1, UCS05.02, UCS05.04,E7,224,월요일9:00~10:30, 임용섭 
2020, CMN17.10, CMN12.03, 진동공학(공), SE483, 1, CMN44.4, UCS05.16, UCS05.18,E7,224,목요일16:00~17:30, 임용섭 
2020, CMN17.10, CMN12.03, 열전달(공), SE482, 1, CMN44.1, UCS05.16, UCS05.18,E7,L20,월요일16:00~17:30, 최경호 
2020, CMN17.10, CMN12.03, 열전달(공), SE482, 1, CMN44.3, UCS05.13, UCS05.15,E7,L20,수요일14:30~16:00, 최경호 
2020, CMN17.10, CMN12.03, 기계열역학(공), SE368a, 1, CMN44.1, UCS05.05, UCS05.07,E7,235,월요일10:30~12:00, 최경호 
2020, CMN17.10, CMN12.03, 기계열역학(공), SE368a, 1, CMN44.2, UCS05.15, UCS05.17,E7,235,화요일15:30~17:00, 최경호 
2020, CMN17.10, CMN12.03, 컴퓨터 구조(공), SE379a, 1, CMN44.2, UCS05.14, UCS05.16,E3,113,화요일15:00~16:30, 김대훈 
2020, CMN17.10, CMN12.03, 컴퓨터 구조(공), SE379a, 1, CMN44.4, UCS05.14, UCS05.16,E3,113,목요일15:00~16:30, 김대훈 
2020, CMN17.10, CMN12.03, 자료구조(이공), SE274, 1, CMN44.1, UCS05.14, UCS05.16,E3,112,월요일15:00~16:30, 김선준 
2020, CMN17.10, CMN12.03, 자료구조(이공), SE274, 1, CMN44.3, UCS05.14, UCS05.16,E3,112,수요일15:00~16:30, 김선준 
2020, CMN17.10, CMN12.03, 신호 및 시스템(이공) , SE391, 1, CMN44.1, UCS05.05, UCS05.07,E3,112,월요일10:30~12:00, 곽정호 
2020, CMN17.10, CMN12.03, 신호 및 시스템(이공) , SE391, 1, CMN44.3, UCS05.05, UCS05.07,E3,112,수요일10:30~12:00, 곽정호 
2020, CMN17.10, CMN12.03, 전자 회로 이론(공), SE392, 1, CMN44.1, UCS05.11, UCS05.13,E3,113,월요일13:30~15:00, 궁재하 
2020, CMN17.10, CMN12.03, 전자 회로 이론(공), SE392, 1, CMN44.3, UCS05.11, UCS05.13,E3,113,수요일13:30~15:00, 궁재하 
2020, CMN17.10, CMN12.03, 전자 소자 개론(공), SE393, 1, CMN44.2, UCS05.05, UCS05.07,E3,626,화요일10:30~12:00, 강홍기 
2020, CMN17.10, CMN12.03, 전자 소자 개론(공), SE393, 1, CMN44.4, UCS05.05, UCS05.07,E3,626,목요일10:30~12:00, 강홍기 
2020, CMN17.10, CMN12.03, 운영체제(공), SE370a, 1, CMN44.2, UCS05.11, UCS05.13,E3,112,화요일13:30~15:00, 이성진 
2020, CMN17.10, CMN12.03, 운영체제(공), SE370a, 1, CMN44.4, UCS05.11, UCS05.13,E3,112,목요일13:30~15:00, 이성진 
2020, CMN17.10, CMN12.03, 재료전자기학(이공), SE477, 1, CMN44.2, UCS05.14, UCS05.16,E7,G01,화요일15:00~16:30, 홍정일 
2020, CMN17.10, CMN12.03, 재료전자기학(이공), SE477, 1, CMN44.4, UCS05.14, UCS05.16,E7,G01,목요일15:00~16:30, 홍정일 
2020, CMN17.10, CMN12.03, 박막재료공학(이공), SE478, 1, CMN44.2, UCS05.02, UCS05.04,E7,L20,화요일9:00~10:30, 이신범 
2020, CMN17.10, CMN12.03, 박막재료공학(이공), SE478, 1, CMN44.4, UCS05.02, UCS05.04,E7,L20,목요일9:00~10:30, 이신범 
2020, CMN17.10, CMN12.03, 표면계면과학(이), SE479, 1, CMN44.2, UCS05.10, UCS05.12,E7,G01,화요일13:00~14:30, 문대원 
2020, CMN17.10, CMN12.03, 표면계면과학(이), SE479, 1, CMN44.4, UCS05.10, UCS05.12,E7,G01,목요일13:00~14:30, 문대원 
2020, CMN17.10, CMN12.03, 재료공학개론(공), SE396, 1, CMN44.2, UCS05.04, UCS05.06,E7,G01,화요일10:00~11:30, 이주혁 
2020, CMN17.10, CMN12.03, 재료공학개론(공), SE396, 1, CMN44.4, UCS05.03, UCS05.05,E7,G01,목요일9:30~11:00, 이주혁 
2020, CMN17.10, CMN12.03, 강화학습(이공), SE476, 1, CMN44.1, UCS05.10, UCS05.12,E7,223,월요일13:00~14:30, 이두석 
2020, CMN17.10, CMN12.03, 강화학습(이공), SE476, 1, CMN44.5, UCS05.05, UCS05.07,E7,223,금요일10:30~12:00, 이두석 
2020, CMN17.10, CMN12.03, 인간과 공학(공), SE365, 1, CMN44.3, UCS05.16, UCS05.18,E5,116,수요일16:00~17:30, 김회준 최홍수 홍재성 장경인 이상훈 이옥균 
2020, CMN17.10, CMN12.03, 인간과 공학(공), SE365, 1, CMN44.4, UCS05.16, UCS05.18,E5,116,목요일16:00~17:30, 김회준 최홍수 홍재성 장경인 이상훈 이옥균 
2020, CMN17.10, CMN12.03, 신경과학Ⅰ(이), SE374a, 1, CMN44.1, UCS05.05, UCS05.07,E7,242,월요일10:30~12:00, 서병창 
2020, CMN17.10, CMN12.03, 신경과학Ⅰ(이), SE374a, 1, CMN44.4, UCS05.05, UCS05.07,E7,242,목요일10:30~12:00, 서병창 
2020, CMN17.10, CMN12.03, 고급 양자역학II(이), EM725, 1, CMN44.2, UCS05.05, UCS05.07,E2,424,화요일10:30~12:00, 이재동 
2020, CMN17.10, CMN12.03, 고급 양자역학II(이), EM725, 1, CMN44.4, UCS05.05, UCS05.07,E2,424,목요일10:30~12:00, 이재동 
2020, CMN17.10, CMN12.03, 광화학(이), EM667, 1, CMN44.2, UCS05.05, UCS05.07,E2,525,화요일10:30~12:00, 박진희 
2020, CMN17.10, CMN12.03, 광화학(이), EM667, 1, CMN44.4, UCS05.05, UCS05.07,E2,525,목요일10:30~12:00, 박진희 
2020, CMN17.10, CMN12.03, 생유기화학(이), EM658, 1, CMN44.2, UCS05.14, UCS05.16,E2,524,화요일15:00~16:30, 홍선기 
2020, CMN17.10, CMN12.03, 생유기화학(이), EM658, 1, CMN44.4, UCS05.14, UCS05.16,E2,524,목요일15:00~16:30, 홍선기 
2020, CMN17.10, CMN12.03, EE: 통신의 기초(이공), IC530, 1, CMN44.2, UCS05.14, UCS05.16,E3,112,화요일15:00~16:30, 최지웅 
2020, CMN17.10, CMN12.03, EE: 통신의 기초(이공), IC530, 1, CMN44.4, UCS05.14, UCS05.16,E3,112,목요일15:00~16:30, 최지웅 
2020, CMN17.10, CMN12.03, EE: 반도체 공정 개론 (이공), IC582, 1, CMN44.1, UCS05.05, UCS05.07,E3,626,월요일10:30~12:00, 장재은 
2020, CMN17.10, CMN12.03, EE: 반도체 공정 개론 (이공), IC582, 1, CMN44.1, UCS05.10, UCS05.12,E3,626,월요일13:00~14:30, 장재은 
2020, CMN17.10, CMN12.03, EE: 선형 시스템 (이공), IC567, 1, CMN44.1, UCS05.14, UCS05.16,E3,113,월요일15:00~16:30, 김경대 
2020, CMN17.10, CMN12.03, EE: 선형 시스템 (이공), IC567, 1, CMN44.3, UCS05.14, UCS05.16,E3,113,수요일15:00~16:30, 김경대 
2020, CMN17.10, CMN12.03, EE&CSE: 컴퓨터 네트워크 (이공), IC522, 1, CMN44.2, UCS05.05, UCS05.07,E3,112,화요일10:30~12:00, 최지환 
2020, CMN17.10, CMN12.03, EE&CSE: 컴퓨터 네트워크 (이공), IC522, 1, CMN44.4, UCS05.05, UCS05.07,E3,112,목요일10:30~12:00, 최지환 
2020, CMN17.10, CMN12.03, 생체신호 측정 및 처리★ (공), RT512, 1, CMN44.1, UCS05.10, UCS05.12,E5,115,월요일13:00~14:30, 홍재성 
2020, CMN17.10, CMN12.03, 생체신호 측정 및 처리★ (공), RT512, 1, CMN44.3, UCS05.10, UCS05.12,E5,115,수요일13:00~14:30, 홍재성 
2020, CMN17.10, CMN12.03, 의용생체공학★ (공), RT514, 1, CMN44.1, UCS05.13, UCS05.15,E5,115,월요일14:30~16:00, 김소희 
2020, CMN17.10, CMN12.03, 의용생체공학★ (공), RT514, 1, CMN44.3, UCS05.13, UCS05.15,E5,115,수요일14:30~16:00, 김소희 
2020, CMN17.10, CMN12.03, 의료영상학★(공), RT516, 1, CMN44.2, UCS05.05, UCS05.07,E5,115,화요일10:30~12:00, 유재석 
2020, CMN17.10, CMN12.03, 의료영상학★(공), RT516, 1, CMN44.4, UCS05.05, UCS05.07,E5,115,목요일10:30~12:00, 유재석 
2020, CMN17.10, CMN12.03, 광공학 (공), RT518, 1, CMN44.2, UCS05.02, UCS05.04,E5,116,화요일9:00~10:30, 송철 
2020, CMN17.10, CMN12.03, 광공학 (공), RT518, 1, CMN44.4, UCS05.02, UCS05.04,E5,116,목요일9:00~10:30, 송철 
