No,ClassType,ClassCode,Section,CourseName,Credit,Instructors,ClassSize,Request,Reject,PossibleClassrooms,SurveyCode
198,Required,HL203,7,English for Science Leaders I,4,Philip,25,,9:00~10:00 Mon-16:00~18:00 Tue-12:00~14:00 Wed-16:00~18:00,6 7 15,216
199,Required,HL203,8,English for Science Leaders I,4,Aaron,25,,9:00~10:00 Mon-16:00~18:00 Tue-12:00~14:00 Wed-16:00~18:00,6 7 15,216
200,Required,HL203,9,English for Science Leaders I,4,Aaron,25,,9:00~10:00 Mon-16:00~18:00 Tue-12:00~14:00 Wed-16:00~18:00,6 7 15,216
201,Required,HL301,1,Scientific Writing,4,J.A.Lee,20,,9:00~10:00 Wed-16:30~18:00,6 7 15,326
202,Required,HL301,2,Scientific Writing,4,Anna,20,,9:00~10:00,6 7 15,326
203,Required,HL301,3,Scientific Writing,4,Aaron,20,,9:00~10:00,6 7 15,326
204,Elective,HL270a,1,Seminar for Transdisiplinary Studies,4,G.Ogan,25,Mon-13:00~15:00,,,217
205,Required,HL205,1,Leadership (Self Leadership and Team Leadership) I,4,J.S.Yoon,100,Mon-16:00~18:00,,14,215
206,Required,HL205,2,Leadership (Self Leadership and Team Leadership) I,4,J.S.Yoon,100,Wed-16:00~18:00,,14,215
207,Required,HL304,1,Global Leadership (Leadership Practice) I,4,H.S.Kim,30,Fri-10:00~12:00,,0 1 3 4 5 9 11 12 15,327
208,Elective,HL479,1,Technology VenturesI,6,J.W.Lim,60,,Wed-16:30~18:00,4 5 11 12 16 18,408
int,str,str,int,str,lint,lstr,int,lstr,lstr,lint,int
